kkkkijllhjkjkhjhlkljljljhlikjlkkhklljhijkhjjhijhjjjhjkjljjlhjliijihhkljkhijhiihlhkhikhiljkjllhjkikjllkjjihkikihkllijhhiljikkhkjlhklilhkhjikjhlhjlhkkkhkiljllilkljlljhjlhihlkjkiljkhkikhjjjjkklhklilkllijhjllhllhiihhkjkhljjlhkiijhiihhjkijjkkkllhiiljikkhhllkkjllijkkijjljlkikjijihkllkjiiikjkhlklklilkjikjhlhjkjilhliihjlklkkklilhjijkklkkkjhhjikllkkjjklkhihihkljkhikijikjjkjlkilljikkkkhihijlljhkkkjhhllhhljkkihhikjijiikikkjhjihiilllilhlijllklklhlhhkjllhhjhkjiihjhkklkjjljlikllkhiklljklijllkjlhkkjhihlhhilljkihkklhhjjllkklhhlhjijlilhlihhliiijkjllihhijhilhiikjkkjjikkijilljikjhihjhhkihljjkjhljhjhlhhkjlhhjklijkjkhjhlikihhihkljhkjihljkkkjihkklhkhjkljjkkkllkhljiijihhlhkillkjhjiijihkiiilikijkllhikkkhjhihiklkkihkhkljjjlihjjljkhhlljiihihlljhlhkjhljhjkihhijhjjkilkklhjhhikhjhihhlklhilklhiihillhklhjjkkhlljjjhjjklhjiikkkjlhjjhjiiljlhhkjjhhilijihjljhhillikjihililihklkkjhjiikljlhlllliklljhlhhlhhjhjkjhjkllhjhlijjljlhhhkjjkihjlhihjijjkihhhhhjjijjjhhkllijikjiijjiilhkijhjlhlkljikiihijlljllhkllljhjjiiiklikkhhhjkhihjlj 1000
2 993 hh
6 998 lklllkh
5 992 jkkhhk
4 996 ii
7 997 klj
10 990 hijhjl
10 993 hhil
4 997 bcbccacaca
0 996 lkljjlhill
3 997 kikk
0 997 hhkj
0 990 jhkjkjjh
6 998 kl
1 999 iihjlji
3 997 j
0 997 iililklkli
0 994 ihjhii
3 993 ijjkhiki
8 990 ijj
8 991 hjlhj
8 994 hhjkihkk
6 993 cbcaaacc
2 993 i
10 997 hlkhl
4 999 h
10 998 ljihkhk
7 994 h
0 992 hlhih
6 998 jkkikjjhlk
10 998 ii
8 992 khlikkljkj
9 998 kkiilji
2 999 ihllii
6 997 iklkll
8 992 jj
1 999 jhiil
8 991 ijl
10 998 kjhjjii
7 996 ihl
6 997 kijjjllij
7 990 jjkj
1 994 jllli
4 991 kikiklk
6 990 jl
3 995 ij
9 995 j
1 996 ijih
7 990 khijikj
10 992 killhii
0 996 hihkhiil
6 995 ihh
3 997 klkkjlj
3 998 hhlkl
1 992 ik
3 990 kjlkikhjh
5 999 lhijjihki
6 990 l
1 993 ijiil
3 990 jhhjjik
7 996 jhkj
5 999 jik
1 995 jhlkkhihj
6 998 hkj
4 991 ilkjkkhl
0 997 kiikkki
8 998 hl
9 995 khlkkkjkik
1 992 kkhiill
1 999 ii
0 999 jlkj
6 999 iklljkj
8 992 ikjjjjl
7 990 ihlk
6 993 jli
4 990 likkkhkihh
10 990 ih
7 997 lkkkij
5 995 jll
0 995 jjijhij
3 991 klilki
0 994 ihkkhj
8 999 iik
